,INTERNALID,FIRSTNAME,MIDDLENAME,SURNAME,PREFERREDNAME,ADDRESS1,ADDRESS2,CITY,POSTCODE,DOB,HOMEPHONE,WORKPHONE,MOBILEPHONE,MEDICARENO
18,27,Tamara                                  ,,Alberts                                 ,Tamara                        ,10 Williams Road                        ,,Darwin                                  ,801 ,1993-12-16,08 23658491   ,,,6500110501   
19,28,Harold                                  ,,Hobbin                                  ,Harold                        ,32 Johnathon St                         ,,Maroochydore                            ,4558,1922-03-20,07 5054545777 ,,,4133180467   
20,30,Gracie                                  ,,Jones                                   ,Gracie                        ,2 Oldham Road                           ,,Kenmore                                 ,4069,1903-01-01,07 62500000   ,,,
21,18,Walter                                  ,                              ,Jones                                   ,Walter                        ,2 Oldham Road                           ,                                        ,Kenmore                                 ,4069,1936-02-02,07 34894564   ,              ,              ,3500158282   
22,31,Mandy                                   ,                              ,Moore                                   ,Mandy                         ,68 Bridge Road                          ,                                        ,Noosaville                              ,4566,1966-04-11,07 46895341313,              ,              ,4122401287   
23,24,John                                    ,                              ,Alberts                                 ,John                          ,10 Williams Road                        ,                                        ,Darwin                                  ,801 ,1969-10-16,08 23658491   ,08 23651011   ,0407123123    ,6500110501   
24,2,Alan                                    ,                              ,Abbott                                  ,Alan                          ,12 John St                              ,                                        ,Woodlane                                ,4035,1945-06-30,07 50505050   ,07 50509999   ,0427556232    ,4133180467   
25,4,Madeline                                ,Jane                          ,Abbott                                  ,Madeline                      ,12 John St                              ,                                        ,Albany Creek                            ,4035,1978-02-14,07 50505050   ,              ,09789751131   ,4133180467   
26,3,Benjamin                                ,James                         ,Abbott                                  ,Benjamin                      ,12 John St                              ,                                        ,Albany Creek                            ,4035,2003-01-26,07 50505050   ,              ,              ,4133180467   
27,1,Anastasia                               ,Rose                          ,Abbott                                  ,Anastasia                     ,12 John St                              ,                                        ,Albany Creek                            ,4035,2004-02-25,07 50505050   ,              ,              ,4133180467   
28,13,Tegan                                   ,                              ,Amos                                    ,Tegan                         ,1/235 Rode Road                         ,                                        ,Chermside                               ,4032,1984-04-11,07 58759456   ,0789431238    ,040506080621  ,3500166361   
29,5,Felix                                   ,Alexander                     ,Adams                                   ,Felix                         ,35 Yarrabine Road                       ,                                        ,Landsborough                            ,4550,1928-12-30,07 23456987   ,              ,              ,4133180466   
30,11,Kenneth                                 ,                              ,Allen                                   ,Ken                           ,8 Grey St                               ,                                        ,Fremantle                               ,6160,1928-06-10,08 99905050   ,              ,              ,2234567891   
31,8,Fay                                     ,Ellen                         ,Allen                                   ,Fay                           ,8 Grey St                               ,                                        ,Fremantle                               ,6160,1940-07-12,08 99905050   ,              ,              ,2234567891   
32,37,Leonard                                 ,                              ,Bryant                                  ,Leonard                       ,32 Lonely Lane                          ,                                        ,Bankstown                               ,2200,1956-06-06,02 70505050   ,0270501919    ,              ,2294260071   
33,7,David                                   ,Charles                       ,Allen                                   ,David                         ,22 Star Street                          ,                                        ,Fremantle                               ,6160,1960-10-06,08 99905050   ,0845679412    ,08523138542   ,2234567891   
34,9,Janelle                                 ,                              ,Allen                                   ,Janelle                       ,22 Star Street                          ,                                        ,Fremantle                               ,6160,1965-01-24,08 99905050   ,1300999787    ,097561238     ,2234567891   
35,10,Jessica                                 ,Cate                          ,Allen                                   ,Jessica                       ,22 Star Street                          ,                                        ,Fremantle                               ,6160,1992-01-08,08 99905050   ,              ,              ,2234567891   
36,12,Mitchell                                ,Owen                          ,Allen                                   ,Mitchell                      ,22 Star Street                          ,                                        ,Fremantle                               ,6160,1988-03-15,08 99905050   ,              ,              ,2234567891   
37,6,Alfred Charles                          ,                              ,Aldridge                                ,Alfred Charles                ,"Lazy Lakes Nursing Home, 4 King St      ",                                        ,Launceston                              ,7250,1908-01-24,03 96781510   ,              ,              ,5500064971   
38,43,Ashley                                  ,Francis                       ,Ackerman                                ,Ashley                        ,71 Billabonger Road                     ,                                        ,Willawong                               ,4110,1980-07-10,07 78945787   ,              ,087543154564  ,4133178947   
39,42,Maree                                   ,Aleisha                       ,Ackermann                               ,Maree                         ,71 Billabonger Road                     ,                                        ,Willawong                               ,4110,1981-08-06,07 78945787   ,              ,097897852651  ,4133178947   
40,15,Raymond                                 ,                              ,Bartholomew                             ,Ray                           ,354 Main Road                           ,                                        ,Bridgeman Downs                         ,4035,1928-11-27,07 62576666   ,              ,              ,4133180466   
41,16,Kathleen                                ,                              ,Costello                                ,Kathleen                      ,36 Reed Street                          ,                                        ,Bendigo                                 ,3552,1962-11-03,03 12345678   ,              ,              ,3500158281   
42,34,Rose                                    ,                              ,Bishop                                  ,Rose                          ,89 Gavin Street                         ,                                        ,Rutherford                              ,2320,1926-01-24,02 42658795   ,              ,              ,2294247003   
43,33,David Charles                           ,                              ,Alfreds                                 ,David                         ,481 Spence St                           ,                                        ,Oxley                                   ,4075,1930-03-19,07 48759654   ,              ,              ,4133180466   
44,32,Gwenda                                  ,Elizabeth                     ,Alfreds                                 ,Gwenda                        ,481 Spence St                           ,                                        ,Oxley                                   ,4075,1933-02-16,07 48759654   ,              ,              ,4133180466   
45,41,Frances                                 ,Ann                           ,Barrett                                 ,Frances                       ,23 Gregory Street                       ,                                        ,Wynnum                                  ,4178,1972-09-16,4567 8966     ,0957841354    ,0971231312    ,2294247001   
46,35,Rhonda                                  ,Joan                          ,Ahern                                   ,Rhonda                        ,17 Seymour Ave                          ,                                        ,Bentleigh                               ,3204,1938-06-06,03 49788795   ,              ,              ,3500158284   
47,36,Jason                                   ,Patrick                       ,Ahern                                   ,Jason                         ,17 Seymore Ave                          ,                                        ,Bentleigh                               ,3204,1977-05-31,03 49788795   ,              ,              ,3500158284   
